Time,Unsubtracted Weight,Baseline Weight,Program Temperature,Sample Temperature,Sample Purge Flow,Balance Purge Flow, 
0.000000,4.456964,0.000000,35.000000,35.220000,0.000000,0.100000, 
0.016667,4.456858,0.000000,35.000000,35.240000,0.000000,0.100000, 
0.033333,4.456751,0.000000,35.000000,35.270000,0.000000,0.100000, 
0.050000,4.456645,0.000000,35.000000,35.270000,0.000000,0.100000, 
0.066667,4.456538,0.000000,35.000000,35.270000,0.000000,0.100000, 
0.083333,4.456467,0.000000,35.000000,35.250000,0.000000,0.100000, 
0.100000,4.456361,0.000000,35.000000,35.230000,0.000000,0.100000, 
0.116667,4.456290,0.000000,35.000000,35.210000,0.000000,0.100000, 
0.133333,4.456219,0.000000,35.000000,35.180000,0.000000,0.100000, 
0.150000,4.456148,0.000000,35.000000,35.150000,0.000000,0.100000, 
0.166667,4.456113,0.000000,35.000000,35.120000,0.000000,0.100000, 
0.183333,4.456042,0.000000,35.000000,35.080000,0.000000,0.100000, 
0.200000,4.455971,0.000000,35.000000,35.050000,0.000000,0.100000, 
0.216667,4.455900,0.000000,35.000000,35.010000,0.000000,0.100000, 
0.233333,4.455829,0.000000,35.000000,34.970000,0.000000,0.100000, 
0.250000,4.455758,0.000000,35.000000,34.930000,0.000000,0.100000, 
0.266667,4.455687,0.000000,35.000000,34.890000,0.000000,0.100000, 
0.283333,4.455651,0.000000,35.000000,34.840000,0.000000,0.100000, 
0.300000,4.455616,0.000000,35.000000,34.810000,0.000000,0.100000, 
0.316667,4.455545,0.000000,35.000000,34.790000,0.000000,0.100000, 
0.333333,4.455509,0.000000,35.000000,34.780000,0.000000,0.100000, 
0.350000,4.455474,0.000000,35.000000,34.790000,0.000000,0.100000, 
0.366667,4.455438,0.000000,35.000000,34.790000,0.000000,0.100000, 
0.383333,4.455438,0.000000,35.000000,34.790000,0.000000,0.100000, 
0.400000,4.455403,0.000000,35.000000,34.790000,0.000000,0.100000, 
0.416667,4.455403,0.000000,35.000000,34.810000,0.000000,0.100000, 
0.433333,4.455403,0.000000,35.000000,34.830000,0.000000,0.100000, 
0.450000,4.455367,0.000000,35.000000,34.840000,0.000000,0.100000, 
0.466667,4.455367,0.000000,35.000000,34.860000,0.000000,0.100000, 
0.483333,4.455367,0.000000,35.000000,34.870000,0.000000,0.100000, 
0.500000,4.455332,0.000000,35.000000,34.900000,0.000000,0.100000, 
0.516667,4.455332,0.000000,35.000000,34.920000,0.000000,0.100000, 
0.533333,4.455332,0.000000,35.000000,34.930000,0.000000,0.100000, 
0.550000,4.455332,0.000000,35.000000,34.950000,0.000000,0.100000, 
0.566667,4.455332,0.000000,35.000000,34.960000,0.000000,0.100000, 
0.583333,4.455332,0.000000,35.000000,34.980000,0.000000,0.100000, 
0.600000,4.455296,0.000000,35.000000,35.000000,0.000000,0.100000, 
0.616667,4.455261,0.000000,35.000000,35.000000,0.000000,0.100000, 
0.633333,4.455261,0.000000,35.000000,35.010000,0.000000,0.100000, 
0.650000,4.455225,0.000000,35.000000,35.020000,0.000000,0.100000, 
0.666667,4.455225,0.000000,35.000000,35.030000,0.000000,0.100000, 
0.683333,4.455190,0.000000,35.000000,35.030000,0.000000,0.100000, 
0.700000,4.455190,0.000000,35.000000,35.040000,0.000000,0.100000, 
0.716667,4.455190,0.000000,35.000000,35.040000,0.000000,0.100000, 
0.733333,4.455154,0.000000,35.000000,35.040000,0.000000,0.100000, 
0.750000,4.455154,0.000000,35.000000,35.040000,0.000000,0.100000, 
0.766667,4.455119,0.000000,35.000000,35.030000,0.000000,0.100000, 
0.783333,4.455119,0.000000,35.000000,35.030000,0.000000,0.100000, 
0.800000,4.455154,0.000000,35.000000,35.040000,0.000000,0.100000, 
0.816667,4.455190,0.000000,35.000000,35.030000,0.000000,0.100000, 
0.833333,4.455261,0.000000,35.000000,35.030000,0.000000,0.100000, 
0.850000,4.455332,0.000000,35.000000,35.030000,0.000000,0.100000, 
0.866667,4.455438,0.000000,35.000000,35.030000,0.000000,0.100000, 
0.883333,4.455545,0.000000,35.000000,35.020000,0.000000,0.100000, 
0.900000,4.455687,0.000000,35.000000,35.010000,0.000000,0.100000, 
0.916667,4.455829,0.000000,35.000000,35.010000,0.000000,0.100000, 
0.933333,4.455971,0.000000,35.000000,35.010000,0.000000,0.100000, 
0.950000,4.456113,0.000000,35.000000,35.010000,0.000000,0.100000, 
0.966667,4.456254,0.000000,35.000000,35.010000,0.000000,0.100000, 
0.983333,4.456396,0.000000,35.000000,35.050000,0.000000,0.100000, 
1.000000,4.456574,0.000000,35.210000,35.120000,0.000000,0.100000, 
1.016667,4.456716,0.000000,35.540000,35.310000,0.000000,0.100000, 
1.033333,4.456893,0.000000,35.880000,35.510000,0.000000,0.100000, 
1.050000,4.457035,0.000000,36.210000,35.730000,0.000000,0.100000, 
1.066667,4.457213,0.000000,36.540000,35.980000,0.000000,0.100000, 
1.083333,4.457390,0.000000,36.870000,36.280000,0.000000,0.100000, 
1.100000,4.457532,0.000000,37.210000,36.570000,0.000000,0.100000, 
1.116667,4.457674,0.000000,37.540000,36.850000,0.000000,0.100000, 
1.133333,4.457816,0.000000,37.870000,37.110000,0.000000,0.100000, 
1.150000,4.457958,0.000000,38.210000,37.370000,0.000000,0.100000, 
1.166667,4.458065,0.000000,38.540000,37.640000,0.000000,0.100000, 
1.183333,4.458207,0.000000,38.870000,37.910000,0.000000,0.100000, 
1.200000,4.458313,0.000000,39.210000,38.200000,0.000000,0.100000, 
1.216667,4.458419,0.000000,39.540000,38.490000,0.000000,0.100000, 
1.233333,4.458490,0.000000,39.870000,38.770000,0.000000,0.100000, 
1.250000,4.458490,0.000000,40.210000,39.050000,0.000000,0.100000, 
1.266667,4.458526,0.000000,40.540000,39.330000,0.000000,0.100000, 
1.283333,4.458526,0.000000,40.870000,39.600000,0.000000,0.100000, 
1.300000,4.458490,0.000000,41.210000,39.880000,0.000000,0.100000, 
1.316667,4.458419,0.000000,41.540000,40.170000,0.000000,0.100000, 
1.333333,4.458384,0.000000,41.870000,40.460000,0.000000,0.100000, 
1.350000,4.458277,0.000000,42.210000,40.760000,0.000000,0.100000, 
1.366667,4.458207,0.000000,42.540000,41.050000,0.000000,0.100000, 
1.383333,4.458100,0.000000,42.870000,41.340000,0.000000,0.100000, 
1.400000,4.457994,0.000000,43.210000,41.640000,0.000000,0.100000, 
1.416667,4.457887,0.000000,43.540000,41.920000,0.000000,0.100000, 
1.433333,4.457745,0.000000,43.870000,42.210000,0.000000,0.100000, 
1.450000,4.457639,0.000000,44.210000,42.500000,0.000000,0.100000, 
1.466667,4.457497,0.000000,44.540000,42.800000,0.000000,0.100000, 
1.483333,4.457390,0.000000,44.870000,43.110000,0.000000,0.100000, 
1.500000,4.457248,0.000000,45.210000,43.420000,0.000000,0.100000, 
1.516667,4.457106,0.000000,45.540000,43.730000,0.000000,0.100000, 
1.533333,4.456964,0.000000,45.870000,44.030000,0.000000,0.100000, 
1.550000,4.456822,0.000000,46.210000,44.330000,0.000000,0.100000, 
1.566667,4.456680,0.000000,46.540000,44.630000,0.000000,0.100000, 
1.583333,4.456538,0.000000,46.870000,44.920000,0.000000,0.100000, 
1.600000,4.456396,0.000000,47.210000,45.230000,0.000000,0.100000, 
1.616667,4.456219,0.000000,47.540000,45.540000,0.000000,0.100000, 
1.633333,4.456077,0.000000,47.870000,45.860000,0.000000,0.100000, 
1.650000,4.455900,0.000000,48.210000,46.180000,0.000000,0.100000, 
1.666667,4.455722,0.000000,48.540000,46.500000,0.000000,0.100000, 
1.683333,4.455545,0.000000,48.870000,46.810000,0.000000,0.100000, 
1.700000,4.455367,0.000000,49.210000,47.110000,0.000000,0.100000, 
1.716667,4.455190,0.000000,49.540000,47.410000,0.000000,0.100000, 
1.733333,4.455048,0.000000,49.870000,47.720000,0.000000,0.100000, 
1.750000,4.454870,0.000000,50.210000,48.040000,0.000000,0.100000, 
1.766667,4.454728,0.000000,50.540000,48.370000,0.000000,0.100000, 
1.783333,4.454551,0.000000,50.870000,48.700000,0.000000,0.100000, 
1.800000,4.454409,0.000000,51.210000,49.020000,0.000000,0.100000, 
1.816667,4.454231,0.000000,51.540000,49.340000,0.000000,0.100000, 
1.833333,4.454089,0.000000,51.870000,49.650000,0.000000,0.100000, 
1.850000,4.453948,0.000000,52.210000,49.960000,0.000000,0.100000, 
