Storage Modulus (MPa),,,,,,,Loss Modulus (MPa),,,,,,,Tan Delta,,,,,
PC/ABS 0.1Hz,,PC/ABS 1Hz,,PC/ABS 10Hz,,,PC/ABS 0.1Hz,,PC/ABS 1Hz,,PC/ABS 10Hz,,,PC/ABS 0.1Hz,,PC/ABS 1Hz,,PC/ABS 10Hz,
Temperature (℃),Storage Modulus (MPa),Temperature (℃),Storage Modulus (MPa),Temperature (℃),Storage Modulus (MPa),,Temperature (℃),Loss Modulus (MPa),Temperature (℃),Loss Modulus (MPa),Temperature (℃),Loss Modulus (MPa),,Temperature (℃),Tan Delta,Temperature (℃),Tan Delta,Temperature (℃),Tan Delta
35.8862,3127.51,31.9184,3074.22,32.8162,2944.03,,35.8862,35.1858,31.9184,27.2009,32.8162,35.1401,,35.8862,0.01125,31.9184,0.00885,32.8162,0.01194
36.7181,3133.76,32.2353,3073.9,32.8846,2949.85,,36.7181,37.0024,32.2353,27.1015,32.8846,34.9213,,36.7181,0.01181,32.2353,0.00882,32.8846,0.01184
36.7156,3131.4,32.7353,3054.05,33.0708,2944.36,,36.7156,38.675,32.7353,26.8107,33.0708,34.61,,36.7156,0.01235,32.7353,0.00878,33.0708,0.01175
36.5336,3130.2,33.2332,3051.61,33.3186,2938.77,,36.5336,38.9597,33.2332,26.8555,33.3186,34.2833,,36.5336,0.01245,33.2332,0.0088,33.3186,0.01167
36.4494,3129.06,33.6435,3049.88,33.583,2935.34,,36.4494,38.1626,33.6435,26.6734,33.583,33.9975,,36.4494,0.0122,33.6435,0.00875,33.583,0.01158
36.5459,3124.7,33.945,3042.58,33.7549,2930.96,,36.5459,38.3498,33.945,26.5817,33.7549,33.7185,,36.5459,0.01227,33.945,0.00874,33.7549,0.0115
36.8441,3124.07,34.1496,3040.27,33.8984,2927.94,,36.8441,38.4998,34.1496,26.6365,33.8984,33.4749,,36.8441,0.01232,34.1496,0.00876,33.8984,0.01143
37.3184,3119.99,34.2772,3039.67,33.984,2926.13,,37.3184,38.833,34.2772,26.6568,33.984,33.2884,,37.3184,0.01245,34.2772,0.00877,33.984,0.01138
37.9492,3113.63,34.3586,3040.73,34.0347,2925.03,,37.9492,39.0715,34.3586,26.6405,34.0347,33.1461,,37.9492,0.01255,34.3586,0.00876,34.0347,0.01133
38.738,3106.32,34.4071,3042.41,34.0566,2924.48,,38.738,39.4015,34.4071,26.6625,34.0566,33.0512,,38.738,0.01268,34.4071,0.00876,34.0566,0.0113
39.6538,3097.98,34.4447,3043.87,34.0382,2924.51,,39.6538,39.8151,34.4447,26.6299,34.0382,32.9789,,39.6538,0.01285,34.4447,0.00875,34.0382,0.01128
40.6789,3089.28,34.4825,3044.79,34.0066,2924.7,,40.6789,40.6472,34.4825,26.6058,34.0066,32.8382,,40.6789,0.01316,34.4825,0.00874,34.0066,0.01123
41.762,3080.92,34.5259,3045.11,33.9699,2924.84,,41.762,41.5786,34.5259,26.5434,33.9699,32.6725,,41.762,0.0135,34.5259,0.00872,33.9699,0.01117
42.868,3071.85,34.5721,3045.04,33.9146,2924.92,,42.868,42.6418,34.5721,26.5031,33.9146,32.492,,42.868,0.01388,34.5721,0.0087,33.9146,0.01111
43.9814,3062.06,34.6453,3044.88,33.8775,2924.97,,43.9814,43.5664,34.6453,26.4555,33.8775,32.2439,,43.9814,0.01423,34.6453,0.00869,33.8775,0.01102
45.1135,3052.41,34.7315,3044.77,33.8441,2924.98,,45.1135,44.3337,34.7315,26.405,33.8441,32.026,,45.1135,0.01452,34.7315,0.00867,33.8441,0.01095
46.2555,3042.65,34.8378,3044.77,32.5822,2924.99,,46.2555,44.8295,34.8378,26.4299,32.5822,31.8118,,46.2555,0.01473,34.8378,0.00868,32.5822,0.01088
47.4078,3032.89,34.9668,3044.77,32.714,2924.99,,47.4078,45.1682,34.9668,26.473,32.714,31.5479,,47.4078,0.01489,34.9668,0.00869,32.714,0.01079
48.547,3023.64,35.1137,3044.77,32.8689,2924.99,,48.547,45.5205,35.1137,26.5129,32.8689,31.1061,,48.547,0.01505,35.1137,0.00871,32.8689,0.01063
49.6467,3014.41,35.2866,3044.77,33.0129,2925,,49.6467,46.1587,35.2866,26.5494,33.0129,30.6429,,49.6467,0.01531,35.2866,0.00872,33.0129,0.01048
50.7336,3004.51,35.4874,3044.77,33.1843,2925,,50.7336,46.7881,35.4874,26.5452,33.1843,30.5627,,50.7336,0.01557,35.4874,0.00872,33.1843,0.01045
51.8021,2994.03,35.6971,3044.77,33.358,2925,,51.8021,47.5374,35.6971,26.5162,33.358,30.8633,,51.8021,0.01588,35.6971,0.00871,33.358,0.01055
52.8516,2984,35.9375,3044.78,33.5472,2924.99,,52.8516,48.1812,35.9375,26.463,33.5472,31.5207,,52.8516,0.01615,35.9375,0.00869,33.5472,0.01078
53.8954,2974.61,36.2029,3044.88,33.7515,2924.98,,53.8954,48.9653,36.2029,26.4947,33.7515,31.9801,,53.8954,0.01646,36.2029,0.0087,33.7515,0.01093
54.901,2965.23,36.4812,3045.03,33.946,2924.98,,54.901,49.9084,36.4812,26.591,33.946,32.1816,,54.901,0.01683,36.4812,0.00873,33.946,0.011
55.8684,2956.16,36.7908,3045.22,34.1715,2924.98,,55.8684,50.8129,36.7908,26.655,34.1715,32.0891,,55.8684,0.01719,36.7908,0.00875,34.1715,0.01097
56.8167,2946.91,37.1152,3045.25,34.3881,2924.98,,56.8167,51.5513,37.1152,26.677,34.3881,31.9294,,56.8167,0.01749,37.1152,0.00876,34.3881,0.01092
57.7658,2937.16,37.4638,3044.91,34.6363,2924.99,,57.7658,51.9172,37.4638,26.652,34.6363,31.8049,,57.7658,0.01768,37.4638,0.00875,34.6363,0.01087
58.7155,2927.22,37.8203,3043.77,34.9422,2924.98,,58.7155,52.0255,37.8203,26.6111,34.9422,31.8509,,58.7155,0.01777,37.8203,0.00874,34.9422,0.01089
59.6573,2917.15,38.1933,3041.69,35.1861,2924.98,,59.6573,51.9977,38.1933,26.5493,35.1861,32.0695,,59.6573,0.01782,38.1933,0.00873,35.1861,0.01096
60.5667,2906.89,38.6544,3038.77,35.4808,2924.98,,60.5667,52.3529,38.6544,26.4911,35.4808,32.4241,,60.5667,0.01801,38.6544,0.00872,35.4808,0.01109
61.4706,2896.52,39.1109,3035.41,35.7503,2924.97,,61.4706,52.864,39.1109,26.4086,35.7503,32.6825,,61.4706,0.01825,39.1109,0.0087,35.7503,0.01117
62.3773,2886.29,39.582,3031.87,36.1146,2924.97,,62.3773,53.8385,39.582,26.297,36.1146,32.8127,,62.3773,0.01865,39.582,0.00867,36.1146,0.01122
63.2969,2876.33,40.0417,3028.28,36.4592,2924.97,,63.2969,54.6562,40.0417,26.2527,36.4592,32.7813,,63.2969,0.019,40.0417,0.00867,36.4592,0.01121
64.2451,2866.56,40.493,3024.75,36.8685,2924.98,,64.2451,55.6374,40.493,26.3339,36.8685,32.6811,,64.2451,0.01941,40.493,0.00871,36.8685,0.01117
65.1862,2856.58,40.9632,3021.54,37.338,2924.98,,65.1862,55.9359,40.9632,26.5041,37.338,32.5327,,65.1862,0.01958,40.9632,0.00877,37.338,0.01112
66.0896,2846.67,41.4422,3018.79,37.7103,2924.99,,66.0896,56.2469,41.4422,26.653,37.7103,32.4114,,66.0896,0.01976,41.4422,0.00883,37.7103,0.01108
66.9968,2836.16,41.9153,3016.85,38.1379,2925.09,,66.9968,55.3895,41.9153,26.76,38.1379,32.3039,,66.9968,0.01953,41.9153,0.00887,38.1379,0.01104
67.9322,2825.56,42.4003,3015.71,38.519,2925.25,,67.9322,55.2921,42.4003,26.8555,38.519,32.2473,,67.9322,0.01957,42.4003,0.00891,38.519,0.01102
68.8698,2813.7,42.8666,3015,38.9577,2925.41,,68.8698,55.3159,42.8666,26.9249,38.9577,32.2159,,68.8698,0.01966,42.8666,0.00893,38.9577,0.01101
69.7926,2801.05,43.3385,3013.94,39.3475,2925.49,,69.7926,56.7467,43.3385,26.9545,39.3475,32.2268,,69.7926,0.02026,43.3385,0.00894,39.3475,0.01102
